location,`date`,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,people_fully_vaccinated_per_hundred
Afghanistan,2021-03-04,55775,5,2446,0,1432.761,0.128,62.833,0.0,38928341,
Afghanistan,2021-03-05,55827,52,2449,3,1434.097,1.336,62.91,0.077,38928341,
Afghanistan,2021-03-06,55840,13,2449,0,1434.431,0.334,62.91,0.0,38928341,
Afghanistan,2021-03-07,55847,7,2449,0,1434.61,0.18,62.91,0.0,38928341,
Afghanistan,2021-03-08,55876,29,2451,2,1435.355,0.745,62.962,0.051,38928341,
Afghanistan,2021-02-25,55680,16,2438,2,1430.32,0.411,62.628,0.051,38928341,
Afghanistan,2021-03-09,55876,0,2451,0,1435.355,0.0,62.962,0.0,38928341,
Afghanistan,2021-03-10,55894,18,2451,0,1435.818,0.462,62.962,0.0,38928341,
Afghanistan,2021-03-11,55917,23,2451,0,1436.409,0.591,62.962,0.0,38928341,
Afghanistan,2021-03-12,55959,42,2454,3,1437.487,1.079,63.039,0.077,38928341,
Afghanistan,2021-03-13,55959,0,2454,0,1437.487,0.0,63.039,0.0,38928341,
Afghanistan,2021-03-14,55985,26,2457,3,1438.155,0.668,63.116,0.077,38928341,
Afghanistan,2021-03-15,55985,0,2459,2,1438.155,0.0,63.167,0.051,38928341,
Afghanistan,2021-03-16,55995,10,2460,1,1438.412,0.257,63.193,0.026,38928341,
Afghanistan,2021-03-17,56016,21,2460,0,1438.952,0.539,63.193,0.0,38928341,
Afghanistan,2021-03-18,56044,28,2462,2,1439.671,0.719,63.244,0.051,38928341,
Afghanistan,2021-03-19,56069,25,2462,0,1440.313,0.642,63.244,0.0,38928341,
Afghanistan,2021-03-20,56093,24,2462,0,1440.93,0.617,63.244,0.0,38928341,
Afghanistan,2021-03-21,56103,10,2463,1,1441.187,0.257,63.27,0.026,38928341,
Afghanistan,2021-03-22,56153,50,2464,1,1442.471,1.284,63.296,0.026,38928341,
Afghanistan,2021-03-23,56177,24,2466,2,1443.087,0.617,63.347,0.051,38928341,
Afghanistan,2021-03-24,56192,15,2466,0,1443.473,0.385,63.347,0.0,38928341,
Afghanistan,2021-03-25,56226,34,2467,1,1444.346,0.873,63.373,0.026,38928341,
Afghanistan,2021-03-26,56254,28,2467,0,1445.065,0.719,63.373,0.0,38928341,
Afghanistan,2021-03-27,56290,36,2469,2,1445.99,0.925,63.424,0.051,38928341,
Afghanistan,2021-02-27,55707,11,2443,1,1431.014,0.283,62.756,0.026,38928341,
Afghanistan,2021-03-28,56294,4,2470,1,1446.093,0.103,63.45,0.026,38928341,
Afghanistan,2021-03-29,56322,28,2472,2,1446.812,0.719,63.501,0.051,38928341,
Afghanistan,2021-03-30,56384,62,2476,4,1448.405,1.593,63.604,0.103,38928341,
Afghanistan,2021-03-31,56454,70,2484,8,1450.203,1.798,63.81,0.206,38928341,
Afghanistan,2021-04-01,56517,63,2489,5,1451.821,1.618,63.938,0.128,38928341,
Afghanistan,2021-04-02,56572,55,2495,6,1453.234,1.413,64.092,0.154,38928341,
Afghanistan,2021-02-23,55646,29,2435,2,1429.447,0.745,62.551,0.051,38928341,
Afghanistan,2021-04-03,56595,23,2496,1,1453.825,0.591,64.118,0.026,38928341,
Afghanistan,2021-04-04,56676,81,2497,1,1455.906,2.081,64.143,0.026,38928341,
Afghanistan,2021-04-05,56717,41,2508,11,1456.959,1.053,64.426,0.283,38928341,
Afghanistan,2021-04-06,56779,62,2512,4,1458.552,1.593,64.529,0.103,38928341,
Afghanistan,2021-04-07,56873,94,2512,0,1460.966,2.415,64.529,0.0,38928341,
Afghanistan,2021-04-08,56943,70,2516,4,1462.765,1.798,64.632,0.103,38928341,
Afghanistan,2021-04-09,57019,76,2521,5,1464.717,1.952,64.76,0.128,38928341,
Afghanistan,2021-04-10,57144,125,2521,0,1467.928,3.211,64.76,0.0,38928341,
Afghanistan,2021-02-24,55664,18,2436,1,1429.909,0.462,62.577,0.026,38928341,
Afghanistan,2021-04-11,57160,16,2521,0,1468.339,0.411,64.76,0.0,38928341,
Afghanistan,2021-04-12,57242,82,2529,8,1470.445,2.106,64.966,0.206,38928341,
Afghanistan,2021-04-13,57364,122,2529,0,1473.579,3.134,64.966,0.0,38928341,
Afghanistan,2021-04-14,57492,128,2532,3,1476.867,3.288,65.043,0.077,38928341,
Afghanistan,2021-04-15,57534,42,2533,1,1477.946,1.079,65.068,0.026,38928341,
Afghanistan,2021-04-16,57612,78,2535,2,1479.95,2.004,65.12,0.051,38928341,
Afghanistan,2021-02-22,55617,13,2433,1,1428.702,0.334,62.499,0.026,38928341,
Afghanistan,2021-04-17,57721,109,2539,4,1482.75,2.8,65.222,0.103,38928341,
Afghanistan,2021-04-18,57793,72,2539,0,1484.6,1.85,65.222,0.0,38928341,
Afghanistan,2021-04-19,57898,105,2546,7,1487.297,2.697,65.402,0.18,38928341,
Afghanistan,2021-04-20,58037,139,2549,3,1490.868,3.571,65.479,0.077,38928341,
Afghanistan,2021-04-21,58214,177,2557,8,1495.414,4.547,65.685,0.206,38928341,
Afghanistan,2021-04-22,58312,98,2561,4,1497.932,2.517,65.788,0.103,38928341,
Afghanistan,2021-02-28,55714,7,2443,0,1431.194,0.18,62.756,0.0,38928341,
Afghanistan,2021-03-01,55733,19,2444,1,1431.682,0.488,62.782,0.026,38928341,
Afghanistan,2021-03-02,55759,26,2446,2,1432.35,0.668,62.833,0.051,38928341,
Afghanistan,2021-03-03,55770,11,2446,0,1432.632,0.283,62.833,0.0,38928341,
Afghanistan,2021-02-26,55696,16,2442,4,1430.731,0.411,62.731,0.103,38928341,
Africa,2021-04-04,4270919,9503,113853,272,3185.831,7.089,84.927,0.203,1340598113,0.32
Africa,2021-01-09,3024481,35099,72117,657,2256.068,26.182,53.795,0.49,1340598113,
Africa,2021-01-10,3056088,31607,72711,594,2279.645,23.577,54.238,0.443,1340598113,
Africa,2021-01-11,3084121,28033,73392,681,2300.556,20.911,54.746,0.508,1340598113,
Africa,2021-01-12,3110249,26128,74468,1076,2320.046,19.49,55.548,0.803,1340598113,
Africa,2021-01-13,3144246,33997,75688,1220,2345.405,25.36,56.458,0.91,1340598113,
Africa,2021-01-14,3178474,34228,76741,1053,2370.937,25.532,57.244,0.785,1340598113,
Africa,2021-01-15,3210049,31575,77646,905,2394.49,23.553,57.919,0.675,1340598113,
Africa,2021-01-16,3237617,27568,78309,663,2415.054,20.564,58.413,0.495,1340598113,
Africa,2021-01-17,3264186,26569,78907,598,2434.873,19.819,58.86,0.446,1340598113,
Africa,2021-01-18,3286662,22476,79632,725,2451.639,16.766,59.4,0.541,1340598113,
Africa,2021-01-19,3310072,23410,80834,1202,2469.101,17.462,60.297,0.897,1340598113,
Africa,2021-01-20,3338409,28337,81756,922,2490.238,21.138,60.985,0.688,1340598113,
Africa,2021-01-21,3366274,27865,82781,1025,2511.024,20.785,61.749,0.765,1340598113,
Africa,2021-01-22,3392453,26179,83755,974,2530.552,19.528,62.476,0.727,1340598113,
Africa,2021-01-23,3419761,27308,84537,782,2550.922,20.37,63.059,0.583,1340598113,
Africa,2021-01-24,3439881,20120,85184,647,2565.93,15.008,63.542,0.483,1340598113,
Africa,2021-01-25,3456576,16695,85955,771,2578.383,12.453,64.117,0.575,1340598113,
Africa,2021-01-26,3475174,18598,86938,983,2592.256,13.873,64.85,0.733,1340598113,
Africa,2021-01-27,3496001,20827,87989,1051,2607.792,15.536,65.634,0.784,1340598113,
Africa,2021-01-28,3516781,20780,88985,996,2623.293,15.501,66.377,0.743,1340598113,
Africa,2021-01-29,3536003,19222,89831,846,2637.631,14.338,67.008,0.631,1340598113,
Africa,2021-01-30,3553865,17862,90446,615,2650.955,13.324,67.467,0.459,1340598113,
Africa,2021-01-31,3569617,15752,90971,525,2662.705,11.75,67.859,0.392,1340598113,
Africa,2021-02-01,3582328,12711,91480,509,2672.186,9.482,68.238,0.38,1340598113,
Africa,2021-02-02,3597149,14821,92364,884,2683.242,11.056,68.898,0.659,1340598113,
Africa,2021-02-03,3612611,15462,93073,709,2694.776,11.534,69.426,0.529,1340598113,0
Africa,2021-02-04,3629085,16474,93640,567,2707.064,12.289,69.849,0.423,1340598113,0
Africa,2021-02-05,3644992,15907,94187,547,2718.93,11.866,70.257,0.408,1340598113,0
Africa,2021-02-06,3658537,13545,94735,548,2729.033,10.104,70.666,0.409,1340598113,0
Africa,2021-02-07,3670261,11724,95092,357,2737.779,8.745,70.933,0.266,1340598113,
Africa,2021-02-08,3681674,11413,95535,443,2746.292,8.513,71.263,0.33,1340598113,0
Africa,2021-02-09,3693025,11351,96234,699,2754.759,8.467,71.784,0.521,1340598113,0
Africa,2021-02-10,3706143,13118,96770,536,2764.544,9.785,72.184,0.4,1340598113,0
Africa,2021-02-11,3718013,11870,97265,495,2773.399,8.854,72.553,0.369,1340598113,0
Africa,2021-02-12,3731935,13922,97830,565,2783.784,10.385,72.975,0.421,1340598113,0
Africa,2021-02-13,3742849,10914,98182,352,2791.925,8.141,73.237,0.263,1340598113,0
Africa,2021-02-14,3753174,10325,98475,293,2799.626,7.702,73.456,0.219,1340598113,
Africa,2021-02-15,3763067,9893,98946,471,2807.006,7.38,73.807,0.351,1340598113,0
Africa,2021-02-16,3773094,10027,99412,466,2814.486,7.479,74.155,0.348,1340598113,0
Africa,2021-02-17,3785411,12317,99814,402,2823.673,9.188,74.455,0.3,1340598113,0
Africa,2021-02-18,3799304,13893,100325,511,2834.037,10.363,74.836,0.381,1340598113,0
Africa,2021-02-19,3810323,11019,100709,384,2842.256,8.219,75.122,0.286,1340598113,0
Africa,2021-02-20,3819882,9559,100999,290,2849.386,7.13,75.339,0.216,1340598113,0
Africa,2021-02-21,3829402,9520,101336,337,2856.488,7.101,75.59,0.251,1340598113,0
Africa,2021-02-22,3838419,9017,101672,336,2863.214,6.726,75.841,0.251,1340598113,0.01
Africa,2021-02-23,3846159,7740,102142,470,2868.987,5.774,76.191,0.351,1340598113,0.01
Africa,2021-02-24,3856688,10529,102468,326,2876.841,7.854,76.435,0.243,1340598113,0.01
Africa,2021-02-25,3868959,12271,102825,357,2885.995,9.153,76.701,0.266,1340598113,0.01
Africa,2021-02-26,3880062,11103,103142,317,2894.277,8.282,76.937,0.236,1340598113,0.01
Africa,2021-02-27,3887893,7831,103481,339,2900.118,5.841,77.19,0.253,1340598113,0.02
Africa,2021-02-28,3897307,9414,103706,225,2907.14,7.022,77.358,0.168,1340598113,0.02
Africa,2021-03-01,3906140,8833,104021,315,2913.729,6.589,77.593,0.235,1340598113,0.02
Africa,2021-03-02,3913848,7708,104384,363,2919.479,5.75,77.864,0.271,1340598113,0.03
Africa,2021-03-03,3924756,10908,104662,278,2927.616,8.137,78.071,0.207,1340598113,0.03
Africa,2021-03-04,3937138,12382,104993,331,2936.852,9.236,78.318,0.247,1340598113,0.04
Africa,2021-03-05,3945707,8569,105220,227,2943.244,6.392,78.487,0.169,1340598113,0.05
Africa,2021-03-06,3955660,9953,105483,263,2950.668,7.424,78.684,0.196,1340598113,0.05
Africa,2021-03-07,3964055,8395,105713,230,2956.93,6.262,78.855,0.172,1340598113,0.05
Africa,2021-03-08,3973332,9277,106092,379,2963.85,6.92,79.138,0.283,1340598113,0.06
Africa,2021-03-09,3981161,7829,106381,289,2969.69,5.84,79.353,0.216,1340598113,0.06
Africa,2021-03-10,3991582,10421,106682,301,2977.464,7.773,79.578,0.225,1340598113,0.08
Africa,2021-03-11,4006913,15331,107006,324,2988.899,11.436,79.82,0.242,1340598113,0.08
Africa,2021-03-12,4016737,9824,107233,227,2996.228,7.328,79.989,0.169,1340598113,0.1
Africa,2021-03-13,4027046,10309,107527,294,3003.917,7.69,80.208,0.219,1340598113,0.12
Africa,2021-03-14,4035708,8662,107778,251,3010.379,6.461,80.395,0.187,1340598113,0.12
Africa,2021-03-15,4044120,8412,108087,309,3016.654,6.275,80.626,0.23,1340598113,0.14
Africa,2021-03-16,4053103,8983,108394,307,3023.354,6.701,80.855,0.229,1340598113,0.16
Africa,2021-03-17,4064224,11121,108671,277,3031.65,8.296,81.062,0.207,1340598113,0.17
Africa,2021-03-18,4075556,11332,108932,261,3040.103,8.453,81.256,0.195,1340598113,0.17
Africa,2021-03-19,4088217,12661,109477,545,3049.547,9.444,81.663,0.407,1340598113,0.19
Africa,2021-03-20,4097421,9204,109674,197,3056.413,6.866,81.81,0.147,1340598113,0.2
Africa,2021-03-21,4106515,9094,109903,229,3063.196,6.784,81.981,0.171,1340598113,0.2
Africa,2021-03-22,4116102,9587,110163,260,3070.347,7.151,82.175,0.194,1340598113,0.2
Africa,2021-03-23,4124688,8586,110485,322,3076.752,6.405,82.415,0.24,1340598113,0.21
Africa,2021-03-24,4135583,10895,110807,322,3084.879,8.127,82.655,0.24,1340598113,0.23
Africa,2021-03-25,4148073,12490,111193,386,3094.196,9.317,82.943,0.288,1340598113,0.25
Africa,2021-03-26,4166617,18544,111537,344,3108.028,13.833,83.199,0.257,1340598113,0.26
Africa,2021-03-27,4176092,9475,111730,193,3115.096,7.068,83.343,0.144,1340598113,0.27
Africa,2021-03-28,4185092,9000,111913,183,3121.81,6.713,83.48,0.137,1340598113,0.27
Africa,2021-03-29,4194799,9707,112225,312,3129.05,7.241,83.713,0.233,1340598113,0.28
Africa,2021-03-30,4204561,9762,112502,277,3136.332,7.282,83.919,0.207,1340598113,0.29
Africa,2021-03-31,4217313,12752,112759,257,3145.844,9.512,84.111,0.192,1340598113,0.3
Africa,2021-04-01,4239457,22144,113166,407,3162.362,16.518,84.415,0.304,1340598113,0.31
Africa,2021-04-02,4252635,13178,113413,247,3172.192,9.83,84.599,0.184,1340598113,0.31
Africa,2021-04-03,4261416,8781,113581,168,3178.742,6.55,84.724,0.125,1340598113,0.32
Africa,2021-04-05,4280173,9254,114083,230,3192.734,6.903,85.099,0.172,1340598113,0.32
Africa,2021-04-06,4289749,9576,114319,236,3199.877,7.143,85.275,0.176,1340598113,0.32
Africa,2021-04-07,4301423,11674,114586,267,3208.585,8.708,85.474,0.199,1340598113,0.33
Africa,2021-04-08,4318252,16829,114937,351,3221.138,12.553,85.736,0.262,1340598113,0.33
Africa,2021-04-09,4330793,12541,115199,262,3230.493,9.355,85.931,0.195,1340598113,0.33
Africa,2021-04-10,4340514,9721,115422,223,3237.744,7.251,86.097,0.166,1340598113,0.34
Africa,2021-04-11,4350198,9684,115710,288,3244.968,7.224,86.312,0.215,1340598113,0.34
Africa,2021-04-12,4360387,10189,115974,264,3252.568,7.6,86.509,0.197,1340598113,0.34
Africa,2021-04-13,4370297,9910,116378,404,3259.961,7.392,86.811,0.301,1340598113,0.34
Africa,2021-04-14,4384217,13920,116746,368,3270.344,10.383,87.085,0.275,1340598113,0.34
Africa,2021-04-15,4396924,12707,117059,313,3279.823,9.479,87.318,0.233,1340598113,0.34
Africa,2021-04-16,4408953,12029,117366,307,3288.795,8.973,87.547,0.229,1340598113,0.34
Africa,2021-04-17,4422316,13363,117646,280,3298.763,9.968,87.756,0.209,1340598113,0.34
Africa,2021-04-18,4431640,9324,117898,252,3305.719,6.955,87.944,0.188,1340598113,0.35
Africa,2021-04-19,4440393,8753,118197,299,3312.248,6.529,88.167,0.223,1340598113,0.35
Africa,2021-04-20,4450504,10111,118608,411,3319.79,7.542,88.474,0.307,1340598113,0.35
Africa,2021-04-21,4462371,11867,118919,311,3328.642,8.852,88.706,0.232,1340598113,0.35
Africa,2021-04-22,4474950,12579,119227,308,3338.025,9.383,88.936,0.23,1340598113,0.35
Africa,2021-04-23,4487054,12104,119604,377,3347.054,9.029,89.217,0.281,1340598113,0.35
Albania,2021-01-10,63595,562,1241,8,22098.479,195.288,431.232,2.78,2877800,
Albania,2021-01-11,63971,376,1247,6,22229.133,130.655,433.317,2.085,2877800,
Albania,2021-01-12,64627,656,1252,5,22457.086,227.952,435.055,1.737,2877800,
Albania,2021-01-13,65334,707,1256,4,22702.76,245.674,436.445,1.39,2877800,
Albania,2021-01-14,65994,660,1261,5,22932.102,229.342,438.182,1.737,2877800,
Albania,2021-01-15,66635,641,1265,4,23154.842,222.74,439.572,1.39,2877800,
Albania,2021-01-16,67216,581,1270,5,23356.73,201.89,441.309,1.737,2877800,
Albania,2021-01-17,67690,474,1277,7,23521.44,164.709,443.742,2.432,2877800,
Albania,2021-01-18,67982,292,1281,4,23622.906,101.466,445.132,1.39,2877800,
Albania,2021-01-19,68568,586,1287,6,23826.533,203.628,447.217,2.085,2877800,
Albania,2021-01-20,69238,670,1291,4,24059.352,232.817,448.607,1.39,2877800,
Albania,2021-01-21,69916,678,1296,5,24294.947,235.597,450.344,1.737,2877800,
Albania,2021-01-22,70655,739,1303,7,24551.74,256.793,452.776,2.432,2877800,
Albania,2021-01-23,71441,786,1310,7,24824.865,273.125,455.209,2.432,2877800,
Albania,2021-01-24,72274,833,1315,5,25114.322,289.457,456.946,1.737,2877800,
Albania,2021-01-25,72812,538,1324,9,25301.271,186.948,460.074,3.127,2877800,
Albania,2021-01-26,73691,879,1332,8,25606.713,305.442,462.854,2.78,2877800,
Albania,2021-01-27,74567,876,1339,7,25911.113,304.399,465.286,2.432,2877800,
Albania,2021-01-28,75454,887,1350,11,26219.334,308.222,469.108,3.822,2877800,
Albania,2021-01-29,76350,896,1358,8,26530.684,311.349,471.888,2.78,2877800,
Albania,2021-01-30,77251,901,1369,11,26843.77,313.086,475.711,3.822,2877800,
Albania,2021-01-31,78127,876,1380,11,27148.17,304.399,479.533,3.822,2877800,
Albania,2021-02-01,78992,865,1393,13,27448.746,300.577,484.05,4.517,2877800,
Albania,2021-02-02,79934,942,1398,5,27776.078,327.333,485.788,1.737,2877800,0
Albania,2021-02-03,80941,1007,1404,6,28125.998,349.92,487.873,2.085,2877800,
Albania,2021-02-04,81993,1052,1418,14,28491.557,365.557,492.738,4.865,2877800,
Albania,2021-02-05,83082,1089,1433,15,28869.97,378.414,497.95,5.212,2877800,
Albania,2021-02-06,84212,1130,1446,13,29262.63,392.661,502.467,4.517,2877800,
Albania,2021-02-07,85336,1124,1460,14,29653.207,390.576,507.332,4.865,2877800,
Albania,2021-02-08,86289,953,1472,12,29984.363,331.156,511.502,4.17,2877800,
Albania,2021-02-09,87528,1239,1488,16,30414.9,430.537,517.062,5.56,2877800,0.02
Albania,2021-02-10,88671,1143,1503,15,30812.078,397.178,522.274,5.212,2877800,
Albania,2021-02-11,89776,1105,1517,14,31196.053,383.974,527.139,4.865,2877800,
Albania,2021-02-12,90835,1059,1531,14,31564.043,367.989,532.004,4.865,2877800,
Albania,2021-02-13,91987,1152,1543,12,31964.348,400.306,536.173,4.17,2877800,
Albania,2021-02-14,93075,1088,1555,12,32342.414,378.067,540.343,4.17,2877800,
Albania,2021-02-15,93850,775,1567,12,32611.717,269.303,544.513,4.17,2877800,
Albania,2021-02-16,94651,801,1582,15,32890.055,278.338,549.725,5.212,2877800,
Albania,2021-02-17,95726,1075,1600,18,33263.605,373.549,555.98,6.255,2877800,0.02
Albania,2021-02-18,96838,1112,1617,17,33650.01,386.406,561.888,5.907,2877800,0.02
Albania,2021-02-19,97909,1071,1636,19,34022.17,372.159,568.49,6.602,2877800,
Albania,2021-02-20,99062,1153,1653,17,34422.824,400.653,574.397,5.907,2877800,
Albania,2021-02-21,100246,1184,1666,13,34834.246,411.425,578.914,4.517,2877800,
Albania,2021-02-22,101285,1039,1681,15,35195.29,361.04,584.127,5.212,2877800,0.02
Albania,2021-02-23,102306,1021,1696,15,35550.074,354.785,589.339,5.212,2877800,
Albania,2021-02-24,103327,1021,1715,19,35904.86,354.785,595.941,6.602,2877800,
Albania,2021-02-25,104313,986,1736,21,36247.48,342.623,603.239,7.297,2877800,
Albania,2021-02-26,105229,916,1756,20,36565.777,318.299,610.188,6.95,2877800,
Albania,2021-02-27,106215,986,1775,19,36908.402,342.623,616.791,6.602,2877800,
Albania,2021-02-28,107167,952,1796,21,37239.21,330.808,624.088,7.297,2877800,
Albania,2021-03-01,107931,764,1816,20,37504.69,265.481,631.038,6.95,2877800,
Albania,2021-03-02,108823,892,1835,19,37814.65,309.959,637.64,6.602,2877800,
Albania,2021-03-03,109674,851,1856,21,38110.363,295.712,644.937,7.297,2877800,
Albania,2021-03-04,110521,847,1876,20,38404.684,294.322,651.887,6.95,2877800,
Albania,2021-03-05,111301,780,1897,21,38675.727,271.04,659.184,7.297,2877800,
Albania,2021-03-06,112078,777,1918,21,38945.723,269.998,666.481,7.297,2877800,
Albania,2021-03-07,112897,819,1939,21,39230.316,284.592,673.779,7.297,2877800,
Albania,2021-03-08,113580,683,1956,17,39467.65,237.334,679.686,5.907,2877800,
Albania,2021-03-09,114209,629,1969,13,39686.22,218.57,684.203,4.517,2877800,
Albania,2021-03-10,114840,631,1986,17,39905.484,219.265,690.111,5.907,2877800,
Albania,2021-03-11,115442,602,2002,16,40114.67,209.188,695.67,5.56,2877800,
Albania,2021-03-12,116123,681,2018,16,40351.31,236.639,701.23,5.56,2877800,
Albania,2021-03-13,116821,698,2030,12,40593.855,242.546,705.4,4.17,2877800,
Albania,2021-03-14,117474,653,2045,15,40820.766,226.909,710.612,5.212,2877800,
Albania,2021-03-15,118017,543,2060,15,41009.453,188.686,715.825,5.212,2877800,
Albania,2021-03-16,118492,475,2077,17,41174.508,165.057,721.732,5.907,2877800,
Albania,2021-03-17,118938,446,2092,15,41329.49,154.979,726.944,5.212,2877800,
Albania,2021-03-18,119528,590,2106,14,41534.508,205.018,731.809,4.865,2877800,
Albania,2021-03-19,120022,494,2122,16,41706.164,171.659,737.369,5.56,2877800,
Albania,2021-03-20,120541,519,2133,11,41886.51,180.346,741.191,3.822,2877800,
Albania,2021-03-21,121200,659,2137,4,42115.504,228.994,742.581,1.39,2877800,
Albania,2021-03-22,121544,344,2145,8,42235.04,119.536,745.361,2.78,2877800,
Albania,2021-03-23,121847,303,2156,11,42340.33,105.289,749.183,3.822,2877800,
Albania,2021-03-24,122295,448,2171,15,42496.004,155.674,754.396,5.212,2877800,
Albania,2021-03-25,122767,472,2184,13,42660.02,164.014,758.913,4.517,2877800,
Albania,2021-03-26,123216,449,2192,8,42816.04,156.022,761.693,2.78,2877800,
Albania,2021-03-27,123641,425,2204,12,42963.723,147.682,765.863,4.17,2877800,
Albania,2021-03-28,124134,493,2210,6,43135.035,171.311,767.948,2.085,2877800,
Albania,2021-03-29,124419,285,2216,6,43234.066,99.034,770.033,2.085,2877800,
Albania,2021-03-30,124723,304,2227,11,43339.703,105.636,773.855,3.822,2877800,
Albania,2021-03-31,125157,434,2235,8,43490.516,150.81,776.635,2.78,2877800,
Albania,2021-04-01,125506,349,2241,6,43611.785,121.273,778.72,2.085,2877800,
Albania,2021-04-02,125842,336,2247,6,43728.543,116.756,780.805,2.085,2877800,
Albania,2021-04-03,126183,341,2256,9,43847.035,118.493,783.932,3.127,2877800,
Albania,2021-04-04,126531,348,2265,9,43967.96,120.926,787.06,3.127,2877800,
Albania,2021-04-05,126795,264,2274,9,44059.7,91.737,790.187,3.127,2877800,
Albania,2021-04-06,126936,141,2283,9,44108.695,48.996,793.314,3.127,2877800,
Albania,2021-04-07,127192,256,2291,8,44197.652,88.957,796.094,2.78,2877800,
Albania,2021-04-08,127509,317,2297,6,44307.805,110.154,798.179,2.085,2877800,
Albania,2021-04-09,127795,286,2304,7,44407.188,99.381,800.612,2.432,2877800,
Albania,2021-04-10,128155,360,2310,6,44532.28,125.096,802.697,2.085,2877800,
Albania,2021-04-11,128393,238,2317,7,44614.984,82.702,805.129,2.432,2877800,
Albania,2021-04-12,128518,125,2321,4,44658.42,43.436,806.519,1.39,2877800,
Albania,2021-04-13,128752,234,2326,5,44739.73,81.312,808.256,1.737,2877800,
Albania,2021-04-14,128959,207,2331,5,44811.66,71.93,809.994,1.737,2877800,
Albania,2021-04-15,129128,169,2335,4,44870.387,58.725,811.384,1.39,2877800,
Albania,2021-04-16,129307,179,2337,2,44932.586,62.2,812.079,0.695,2877800,
Albania,2021-04-17,129456,149,2340,3,44984.363,51.776,813.121,1.042,2877800,
Albania,2021-04-18,129594,138,2342,2,45032.316,47.953,813.816,0.695,2877800,
Albania,2021-04-19,129694,100,2347,5,45067.066,34.749,815.554,1.737,2877800,
Albania,2021-04-20,129842,148,2353,6,45118.492,51.428,817.638,2.085,2877800,
Albania,2021-04-21,129980,138,2358,5,45166.445,47.953,819.376,1.737,2877800,
Albania,2021-04-22,130114,134,2364,6,45213.01,46.563,821.461,2.085,2877800,
Albania,2021-04-23,130270,156,2367,3,45267.22,54.208,822.503,1.042,2877800,
Algeria,2021-01-29,106887,277,2884,3,2437.502,6.317,65.768,0.068,43851043,
Algeria,2021-01-30,107122,235,2888,4,2442.861,5.359,65.859,0.091,43851043,
Algeria,2021-01-31,107339,217,2891,3,2447.81,4.949,65.928,0.068,43851043,
Algeria,2021-02-01,107578,239,2894,3,2453.26,5.45,65.996,0.068,43851043,
Algeria,2021-02-02,107841,263,2898,4,2459.257,5.998,66.087,0.091,43851043,
Algeria,2021-02-03,108116,275,2900,2,2465.529,6.271,66.133,0.046,43851043,
Algeria,2021-02-04,108381,265,2904,4,2471.572,6.043,66.224,0.091,43851043,
Algeria,2021-02-05,108629,248,2909,5,2477.227,5.656,66.338,0.114,43851043,
Algeria,2021-02-06,108629,0,2909,0,2477.227,0.0,66.338,0.0,43851043,
Algeria,2021-02-07,109088,459,2914,5,2487.695,10.467,66.452,0.114,43851043,
Algeria,2021-02-08,109313,225,2918,4,2492.826,5.131,66.543,0.091,43851043,
Algeria,2021-02-09,109559,246,2924,6,2498.435,5.61,66.68,0.137,43851043,
Algeria,2021-02-10,109782,223,2926,2,2503.521,5.085,66.726,0.046,43851043,
Algeria,2021-02-11,110049,267,2930,4,2509.61,6.089,66.817,0.091,43851043,
Algeria,2021-02-12,110303,254,2932,2,2515.402,5.792,66.863,0.046,43851043,
Algeria,2021-02-13,110513,210,2935,3,2520.191,4.789,66.931,0.068,43851043,
Algeria,2021-02-14,110711,198,2939,4,2524.706,4.515,67.022,0.091,43851043,
Algeria,2021-02-15,110894,183,2943,4,2528.879,4.173,67.114,0.091,43851043,
Algeria,2021-02-16,111069,175,2945,2,2532.87,3.991,67.159,0.046,43851043,
Algeria,2021-02-17,111247,178,2947,2,2536.929,4.059,67.205,0.046,43851043,
Algeria,2021-02-18,111418,171,2950,3,2540.829,3.9,67.273,0.068,43851043,
Algeria,2021-02-19,111600,182,2954,4,2544.979,4.15,67.364,0.091,43851043,
Andorra,2021-03-27,11809,77,115,1,152837.64,996.57,1488.384,12.942,77265,
Andorra,2021-01-25,9596,47,97,1,124195.945,608.296,1255.42,12.942,77265,
Andorra,2021-01-26,9638,42,97,0,124739.53,543.584,1255.42,0.0,77265,
Andorra,2021-01-27,9716,78,98,1,125749.05,1009.513,1268.362,12.942,77265,
Andorra,2021-01-28,9779,63,100,2,126564.42,815.376,1294.247,25.885,77265,
Andorra,2021-01-29,9837,58,100,0,127315.086,750.663,1294.247,0.0,77265,
Andorra,2021-01-30,9885,48,101,1,127936.32,621.239,1307.19,12.942,77265,
Andorra,2021-01-31,9937,52,101,0,128609.33,673.008,1307.19,0.0,77265,
Andorra,2021-02-01,9972,35,101,0,129062.32,452.986,1307.19,0.0,77265,
Andorra,2021-02-02,10017,45,102,1,129644.73,582.411,1320.132,12.942,77265,
Andorra,2021-02-03,10070,53,103,1,130330.68,685.951,1333.074,12.942,77265,
Andorra,2021-02-04,10137,67,103,0,131197.83,867.146,1333.074,0.0,77265,
Andorra,2021-02-05,10172,35,104,1,131650.81,452.986,1346.017,12.942,77265,
Andorra,2021-02-06,10206,34,105,1,132090.86,440.044,1358.959,12.942,77265,
Andorra,2021-02-07,10251,45,106,1,132673.27,582.411,1371.902,12.942,77265,
